id,place_id,name,osm_type,osm_id
1,,Global,,
2,,Unknown,,
681,152979,"Dubai, United Arab Emirates",R,4479752
737,104427,"Dubai, United Arab Emirates",R,4479752
2761,38388608,"Dubai, United Arab Emirates",R,4479752
1246,106170,"Dubai, United Arab Emirates",R,4479752
2075,309698817,"Dubai, United Arab Emirates",R,4479752
177,18833915,"Sunshine Coast, Australia",R,11675192
224,99902310,"Calistoga, California, United States",R,18154806
2925,114505080,"Rimpar, Bavaria, Germany",R,183792
350,204954222,"Kisumu, Kenya",R,16193530
1734,219103030,"Kisumu, Kenya",R,16193530
247,4557559,"Hamburg, Germany",R,62782
649,4234765,"Hamburg, Germany",R,62782
2498,142347492,"Stadt Erlangen - Kleines Rathaus, Schuhstraße 40, Erlangen, Germany",R,18183546
1893,78236941,"Melbourne, Melbourne, Australia",R,4246124
356,27316199,"Delhi, India",R,1942586
728,24970445,"Delhi, India",R,1942586
1361,25195900,"Delhi, India",R,1942586
1623,25448708,"Delhi, India",R,1942586
1608,91976678,"Nelson South, Nelson, New Zealand",N,7747595593
1596,118066136,"Buch am Erlbach, Bavaria, Germany",R,190922
133,258374765,"South Hill, Washington, United States",R,16789368
2791,108784721,"Hauptstraße 55, Erlangen, Germany",N,3739658975
193,257771316,"Denver, United States",R,1411339
1809,308374186,"Newry, United Kingdom",N,663428001
1056,1248999,"Fairfax (city), United States",W,598621247
218,2656320,"Turtle Island, United States",N,353979111
1663,92586114,"Army Bay, Hibiscus Coast, New Zealand",N,880333187
1765,319710,"Landshut, Germany",R,62484
1481,298549119,"Kathmandu, Nepal",R,12394677
1823,308522773,"Kathmandu, Nepal",R,12394677
1756,96589287,"London, Canada",R,7485368
3307,207907455,"Chengxiang, China",R,3276843
110,259561882,"Malmo, Sweden",R,10663667
1667,275382943,"Ga-Segonyana Ward 1, Ga-Segonyana Local Municipality, South Africa",R,3579143
579,182831199,"Brighton, United Kingdom",N,1326762432
1174,182518895,"Brighton, United Kingdom",N,1326762432
1615,187180704,"Brighton, United Kingdom",N,1326762432
1270,298446531,"Gandaki Pradesh, Nepal",R,10489605
544,71732615,"Edmonton (city), Canada",R,2564500
816,55721447,"Ibadan, Nigeria",N,27565066
578,118490229,"Zam, Romania",R,10492533
811,326472374,"Java, Indonesia",R,7225990
724,142721338,"Muzaffarabad, Pakistan",N,212677583
2367,328807302,"Marburg, Hesse, Germany",R,225494
2451,152990795,"Software-Center, Marburg, Germany",W,31549788
2452,331108729,"Landshut, Bavaria, Germany",R,62484
2485,153077700,"Elisabeth-Blochmann-Platz, Marburg, Germany",W,225735456
2585,141257934,"Schloßplatz, Erlangen, Germany",R,8124756
2606,331088304,"Los Angeles, United States",R,207359
2706,107383523,"Festplatz, Karlsruhe, Germany",R,2436133
2807,107985903,"Semmelstraße, Würzburg, Germany",W,65714214
2818,109801140,"Friedrichstraße, Erlangen, Germany",W,374817372
2867,109562606,"Eichhornstraße, Würzburg, Germany",W,333209786
2930,113432032,"Am Schloßgarten, Würzburg, Germany",W,30191723
2935,115060283,"Eichhornstraße, Würzburg, Germany",W,333209786
2936,115152982,"Annastraße, Würzburg, Germany",W,43317735
2943,109829760,"Hildastraße, Waldkirch, Germany",W,34503520
2974,127350937,"Lutherischer Kirchhof, Marburg, Germany",R,4751452
2980,114156699,"Eichstraße, Würzburg, Germany",W,12654644
3017,114704017,"Marcusstraße, Würzburg, Germany",W,12711018
3046,115253752,"Erwin-Wolf-Platz, Würzburg, Germany",W,30756317
3056,115422178,"Schloßplatz, Erlangen, Germany",R,8124756
3134,115273518,"Domerschulstraße, Würzburg, Germany",W,68256432
3178,114923667,"St.-Rochus-Straße, Würzburg, Germany",W,687327847
3180,114070799,"Am Hubland, Würzburg, Germany",W,50826939
3194,127834856,"Elisabeth-Blochmann-Platz, Marburg, Germany",W,225735456
3195,114908706,"Eichhornstraße, Würzburg, Germany",W,333209786
3219,114738589,"Beim Grafeneckart, Würzburg, Germany",R,14656246
3240,115566396,"Hugenottenplatz, Erlangen, Germany",R,8123508
3268,111187570,"Hauptstraße, Emmendingen, Germany",W,135631133
3276,111167616,"Schlettstadtallee, Waldkirch, Germany",W,107451315
3288,134051110,"Alter Markt/Landtag, Breite Straße, Potsdam, Germany",W,98455854
3304,114546161,"Marktplatz, Würzburg, Germany",W,401910579
3308,127214333,"Elisabeth-Blochmann-Platz, Marburg, Germany",W,225735456
3351,105424509,"Bahnhofstraße, Velbert, Germany",W,23415112
3353,116145089,"Hugenottenplatz, Erlangen, Germany",R,8123508
3358,351200581,"Yetminster, England",R,5703696
3375,111046289,"Hildastraße, Waldkirch, Germany",W,34503520
3387,350805244,"Wybourn, Sheffield, England",N,247431235
3403,135486237,"Bassinplatz, Potsdam, Germany",R,4125425
3411,114259818,"Elisabeth-Scheuring-Straße, Würzburg, Germany",W,427694741
3510,127250886,"Jügelstraße, Frankfurt, Germany",W,42271091
3551,115322007,"Kloster Oberzell, Zell am Main, Germany",W,891693135
3575,113799353,"Tattersallstraße, Mannheim, Germany",W,79683431
3594,251910644,"East High Street, Crieff, Scotland",W,10636465
3603,254048623,"High Street, Blairgowrie and Rattray, Scotland",W,26336913
3605,127502251,"Adenauer-Ufer, Mainz, Germany",R,16935638
3615,128423750,"Gutenbergstraße, Marburg, Germany",W,9064868
3636,114230981,"Semmelstraße, Würzburg, Germany",W,65714214
3652,134888017,"Magnus-Zeller-Platz, Potsdam, Germany",W,93265337
3654,112118155,"Galileistraße, Stuttgart, Germany",W,32523967
3659,111290139,"Am Gemeindegarten, Riegel, Germany",W,13540659
3663,115070968,"Schloßplatz, Erlangen, Germany",R,8124756
3705,125703012,"Karolinenstraße, Hof, Germany",W,165240097
3712,114610260,"Semmelstraße, Würzburg, Germany",W,65714214
3732,350771326,"PH1 5PH, Perth and Kinross, Scotland",,
3749,115280216,"Haslachweg, Gerbrunn, Germany",W,13012716
3750,115055232,"Alte Landstraße, Gerbrunn, Germany",W,794181493
14925,116055777,"Sulzfeld, Kitzinger Straße, Sulzfeld am Main, Germany",W,28010754
14939,114762328,"Würzburger Straße, Zellingen, Germany",W,1076229972
14942,128080943,"Biegenstraße, Marburg, Germany",W,101151335
14944,126592263,"Abendroth-Brücke, Marburg, Germany",W,31099735
14948,114062526,"Rennweg, Würzburg, Germany",W,794531687
14949,115201320,"Steinbachtal, Würzburg, Germany",R,396710
14952,114755974,"Dorfstraße, Hemmersheim, Germany",W,45591848
14953,114997175,"Milly-Marbe-Fries-Weg, Würzburg, Germany",W,4488603
14955,113496702,"Anna-Ebermann-Straße, Würzburg, Germany",W,527933073
14959,115315963,"Bahnhofstraße, Karlstadt, Germany",W,823406229
14978,114069603,"Haslachweg, Gerbrunn, Germany",W,13012716
14985,114890322,"An der Tränk, Sommerhausen, Germany",W,29261270
14987,113479365,"Milly-Marbe-Fries-Weg, Würzburg, Germany",W,4488603
14990,114071127,"Am Schloßgarten, Würzburg, Germany",W,30191723
14993,114826197,"Birkenfelder Straße, Remlingen, Germany",W,60457998
